id,id,label,EuDist,SimDist
0,0,1,0.6239542194773864,0.6157809056475838
1,1,0,-1.0,-1.0
2,2,1,0.49645036862142616,0.6682480227668555
3,3,1,0.6762065793785982,0.596585177687776
4,4,1,-1.0,-1.0
5,5,0,0.6765249165464249,0.5964718985864883
6,6,0,-1.0,-1.0
7,7,1,-1.0,-1.0
8,8,0,0.9226103340391267,0.5201261962943601
9,9,0,-1.0,-1.0
10,10,0,0.58921827314929,0.6292401848729943
11,11,0,0.8599317123525851,0.5376541479230562
12,12,1,0.5602975065858382,0.6409034147520674
13,13,1,0.5512967884424856,0.6446219752727058
14,14,0,-1.0,-1.0
15,15,1,0.5798052165878282,0.6329894277472186
16,16,0,0.5101450165089434,0.6621880607941455
17,17,0,-1.0,-1.0
18,18,0,-1.0,-1.0
19,19,0,0.7834557243762724,0.5607091818047403
20,20,1,0.38668239777566477,0.7211456650809657
21,21,0,-1.0,-1.0
22,22,1,-1.0,-1.0
23,23,0,0.8873171325523024,0.5298526584388368
24,24,0,-1.0,-1.0
25,25,1,0.46298409875486707,0.6835344286045838
26,26,1,-1.0,-1.0
27,27,1,0.7071827828906151,0.5857603591261578
28,28,1,0.6242045826783795,0.6156859860295181
29,29,1,0.3707674610521509,0.7295183380209773
30,30,0,-1.0,-1.0
31,31,1,0.6076363447212867,0.6220312219759926
32,32,1,0.5625343244971074,0.6399859409948285
33,33,0,0.5301887007728595,0.6535141708306468
34,34,0,-1.0,-1.0
35,35,1,0.5761843715786615,0.634443544823648
36,36,1,-1.0,-1.0
37,37,1,-1.0,-1.0
38,38,0,-1.0,-1.0
39,39,0,-1.0,-1.0
40,40,1,0.5983392835627462,0.6256493913926522
41,41,0,-1.0,-1.0
42,42,0,0.8620928831401566,0.5370301390732138
43,43,0,-1.0,-1.0
44,44,1,-1.0,-1.0
45,45,1,-1.0,-1.0
46,46,0,0.7580417165830695,0.568814716151105
47,47,0,0.7970019951247729,0.556482409431363
48,48,0,-1.0,-1.0
49,49,1,0.47444591606190073,0.6782208754532694
50,50,1,-1.0,-1.0
51,51,0,-1.0,-1.0
52,52,1,-1.0,-1.0
53,53,1,0.6006937354548998,0.6247291270342923
54,54,0,-1.0,-1.0
55,55,1,-1.0,-1.0
56,56,1,-1.0,-1.0
57,57,0,0.8700154954614718,0.5347549271260053
58,58,0,0.7196052689106963,0.5815288066856538
59,59,1,0.5916474179223068,0.6282798493810726
60,60,1,-1.0,-1.0
61,61,1,-1.0,-1.0
62,62,1,0.6873035451156876,0.592661588897116
63,63,0,0.8545956171292733,0.5392011017193596
64,64,0,0.8185879053188054,0.5498771860712975
65,65,0,0.81087620911497,0.5522188623200976
66,66,0,0.7310409116052088,0.5776870975699191
67,67,0,-1.0,-1.0
68,68,0,-1.0,-1.0
69,69,1,-1.0,-1.0
70,70,0,0.860145595880541,0.5375923272966318
71,71,0,0.7548422078749383,0.5698518052007481
72,72,0,0.8319959015271343,0.545852749542949
73,73,0,-1.0,-1.0
74,74,0,0.8995978791272046,0.5264272038772033
75,75,0,0.7008528705683162,0.5879403311738916
76,76,0,0.8289092302654364,0.5467739915418691
77,77,0,0.7810998763204043,0.5614508278255075
78,78,0,-1.0,-1.0
79,79,1,0.6503017930422424,0.6059497748933266
80,80,1,-1.0,-1.0
81,81,1,0.6020119290933231,0.624215077203552
82,82,1,0.7056260800601047,0.5862949750186517
83,83,0,0.7169852466218751,0.5824161867246528
84,84,1,-1.0,-1.0
85,85,0,0.5540055836062662,0.643498331376245
86,86,1,0.5277656611010506,0.6545506457314315
87,87,0,0.8732096646709259,0.5338430709920952
88,88,0,0.8531959723173622,0.5396083387498043
89,89,0,0.573799407328424,0.6354049921123891
90,90,1,0.566571145857599,0.6383367922001161
91,91,0,0.6840646671014136,0.5938014255243446
92,92,1,0.5555603570704555,0.6428551585637428
93,93,0,-1.0,-1.0
94,94,0,-1.0,-1.0
95,95,0,-1.0,-1.0
96,96,1,0.6711890233297177,0.5983763572163582
97,97,0,0.7934681012460214,0.5575789161263837
98,98,0,-1.0,-1.0
99,99,1,0.7349636281433037,0.5763809591041194
100,100,1,-1.0,-1.0
101,101,1,0.7325224947110683,0.5771930829485532
102,102,0,-1.0,-1.0
103,103,1,0.4836714564173533,0.6740036654844846
104,104,1,0.4846996723234064,0.6735368900803353
105,105,0,-1.0,-1.0
106,106,1,0.5102762209922861,0.6621305335410612
107,107,1,-1.0,-1.0
108,108,1,0.5342603076257579,0.6517798805259345
109,109,1,-1.0,-1.0
110,110,1,0.49284464438112147,0.669862067539227
111,111,1,-1.0,-1.0
112,112,0,-1.0,-1.0
113,113,1,0.3643467194792877,0.7329515186445106
114,114,0,0.6298671038004858,0.6135469558642073
115,115,1,-1.0,-1.0
116,116,0,0.7884537464858596,0.559142221019081
117,117,1,0.5871309822436842,0.6300677204261534
118,118,0,-1.0,-1.0
119,119,0,0.9278268574379744,0.5187187823127284
120,120,1,-1.0,-1.0
121,121,0,0.8701954711410044,0.5347034657237733
122,122,1,0.41211006818983464,0.7081600949718366
123,123,0,-1.0,-1.0
124,124,1,-1.0,-1.0
125,125,1,0.5863110758026927,0.6303933794914643
126,126,1,-1.0,-1.0
127,127,1,0.5109882467280397,0.661818516567183
128,128,0,-1.0,-1.0
129,129,1,-1.0,-1.0
130,130,1,0.5910364137999475,0.6285211270631152
131,131,0,0.8771105332663235,0.532733678852635
132,132,1,-1.0,-1.0
133,133,1,0.581983564016554,0.6321178188862244
134,134,1,-1.0,-1.0
135,135,0,-1.0,-1.0
136,136,0,-1.0,-1.0
137,137,0,0.9084738367636227,0.5239788886473777
138,138,0,-1.0,-1.0
139,139,1,0.547004802909817,0.6464104042334348
140,140,1,-1.0,-1.0
141,141,1,-1.0,-1.0
142,142,1,0.6385293181088675,0.6103033915524714
143,143,1,0.47459822620086145,0.6781508225304115
144,144,1,0.6714242974487667,0.5982921281725907
145,145,0,-1.0,-1.0
146,146,1,0.4045764346534452,0.7119584063410067
147,147,1,0.6015476587155744,0.6243960300263498
148,148,1,0.5355349041574997,0.6512388596914825
149,149,1,-1.0,-1.0
150,150,1,0.5468238291751838,0.6464860323061044
151,151,0,-1.0,-1.0
152,152,1,0.43945352940039956,0.6947080816263289
153,153,1,0.5346585161939311,0.6516107586462137
154,154,1,0.619897814357097,0.6173228898372696
155,155,0,-1.0,-1.0
156,156,1,0.6393920880463044,0.6099822045571291
157,157,1,-1.0,-1.0
158,158,0,-1.0,-1.0
159,159,0,-1.0,-1.0
160,160,1,0.5868492851405248,0.6301795698962325
