id,id,label,EuDist,SimDist
403,403,1,0.383862792,0.722614992
20,20,1,0.384106156,0.722487936
274,274,1,0.392584874,0.718089087
108,108,1,0.403081598,0.712716924
354,354,1,0.406836301,0.710814755
213,213,1,0.407016023,0.71072396
306,306,1,0.407758256,0.710349235
29,29,1,0.422685383,0.702896095
439,439,1,0.424376944,0.70206135
279,279,1,0.424698883,0.701902705
485,485,1,0.429598669,0.699497014
175,175,0,0.430661384,0.698977418
266,266,1,0.43087952,0.69887086
526,526,1,0.442801902,0.693095843
259,259,1,0.459353103,0.685235121
465,465,1,0.459567306,0.685134557
113,113,1,0.469966208,0.680287747
549,549,1,0.472714204,0.679018371
443,443,1,0.48172606,0.674888582
122,122,1,0.482511796,0.674530889
366,366,1,0.485088697,0.673360455
569,569,1,0.487171183,0.672417548
106,106,1,0.490142456,0.671076779
104,104,1,0.490420309,0.670951673
525,525,1,0.490435261,0.670944942
448,448,1,0.491021678,0.670681061
328,328,1,0.491816073,0.670323921
86,86,1,0.492418769,0.670053219
12,12,1,0.495575286,0.668639024
92,92,1,0.498297798,0.667424061
196,196,1,0.49937125,0.666946228
536,536,1,0.499838926,0.666738263
2,2,1,0.501550896,0.665978091
220,220,1,0.502779366,0.665433677
365,365,1,0.503177121,0.665257598
133,133,1,0.50369319,0.66502928
103,103,1,0.505178292,0.664373121
25,25,1,0.510583025,0.661996053
330,330,1,0.513519223,0.660711793
150,150,1,0.514345084,0.660351469
592,592,1,0.514529175,0.660271203
153,153,1,0.516387235,0.659462159
377,377,1,0.51720525,0.659106604
316,316,1,0.517927039,0.658793192
231,231,1,0.519636984,0.658051897
530,530,1,0.520279851,0.657773632
313,313,1,0.521181689,0.657383669
211,211,1,0.524323752,0.656028615
282,282,1,0.525523542,0.655512663
430,430,1,0.529514237,0.653802348
501,501,1,0.530749706,0.653274664
573,573,1,0.530867428,0.653224428
396,396,1,0.534261254,0.651779479
278,278,0,0.535032441,0.65145203
577,577,0,0.536034894,0.651026877
542,542,1,0.536589128,0.650792057
442,442,0,0.537095575,0.650577633
335,335,1,0.537929747,0.65022476
438,438,0,0.538022716,0.650185456
355,355,0,0.539513704,0.649555764
236,236,1,0.540495355,0.649141847
348,348,1,0.541392213,0.648764144
127,127,1,0.541714514,0.648628518
400,400,0,0.542238453,0.648408161
390,390,1,0.542391003,0.648344031
226,226,1,0.543935824,0.647695315
235,235,1,0.544957436,0.647267023
